序号,曲目名称,演奏形式,作曲,编曲/配器,编曲/配器_2,库存编号,实体区域,总分谱,PDF,Sibelius,Finale,Encore,MIDI,录音（日期+单位）,视频（日期+单位）,备注,标签
372,室外乐,歌曲,刘湲,,,CM-SW0001.1988,,手写总谱,,,,,,,,,
373,太阳玄鸟,民族室内乐,李复斌,李复斌,,CM-TY0001,,总谱,,,,,,,,李复斌音乐合集——民族管弦乐 作品编号1001,李复斌原创
374,太阳玄鸟,民族室内乐,李复斌,,,CM-TY0001.2008,,总谱 分谱,✓,✓,,,,,,3份总谱，包含央视版版、终版（2021.5用于文化奖）,李复斌原创
375,挑帘（汉乐）,民族室内乐,,房晓敏,,CM-TL0001.2017,,总谱 分谱,,,,,,,,分谱不完整,"广东,广东汉乐"
376,醒狮,广东丝竹乐,李复斌,,,CM-XS0001,,总谱,,,,,,,,李复斌音乐合集——民族管弦乐 作品编号1005,"广东,经典作品"
377,月儿高,丝竹乐,,李复斌,,CM-YE0001,,总谱,,,,,,,,,古曲
378,月儿高,丝竹乐,,李复斌,,CM-YE0001.2008,,总谱,,,,,,,,同档案盒,古曲
379,月儿高,丝竹乐,,李复斌,,CM-YE0001.2011,,总谱,,,,,,,,,古曲
380,月儿高,丝竹乐,,李复斌,,CM-YE0001.2019,曲库电脑,总谱 分谱,✓,✓,,,,,,,古曲
381,娱乐升平（合奏）,三架头,,李复斌,,CM-YL0001.2005,,总谱,,,,,,,,李复斌收藏音乐作品系列,"广东,经典作品"
382,月恋,民族室内乐,房晓敏,,,CM-YL0002.2017,,总谱 分谱,,,,,,,,,广东
383,粤歌·茶韵·岭南情,风俗民族器乐重奏,李复斌,,,CM-YG0001.2022,,总谱,,,,,,,,,"广东,李复斌原创,舞台表演"
384,粤茶飘香,民族器乐小品,,李复斌,,CM-YC0002,曲库电脑,总谱 分谱,✓,✓,,,,,,,"广东,李复斌原创,舞台表演"
385,粤茶·娱乐升平,广东风情器乐,李复斌,,,CM-YC0003,,分谱,,,,,,,,,"广东,李复斌原创,舞台表演"
386,竹林春雨,潮州音乐合奏,,陈博,,CM-ZL0001,,手写总谱,,,,,,,,,"广东,潮州音乐"
387,彩云追月,丝弦乐,,李复斌,,SS-CY0001,,总谱 分谱,,,,,,,,,"广东,经典作品"
388,彩云追月,丝弦乐,,李复斌,,SS-CY0001（2）,,总谱 分谱,,,,,,,,,"广东,经典作品"
389,彩云追月,丝弦乐,,李复斌,,SS-CY0001.2004,,总谱,,,,,,,,,"广东,经典作品"
390,春雨,丝弦乐,,,李复斌,SS-CY0002.2005,,总谱 分谱,,,,,,,,,广东
391,春郊试马,丝弦乐,,李复斌,,SS-CJ0001,,总谱 分谱,,,,,,,,,"广东,经典作品"
392,惊涛,丝弦乐,陈文达,,李复斌,SS-JT0001.2009,,总谱 分谱,,,,,,,,,"广东,经典作品"
393,惊涛,丝弦乐,陈文达,,李复斌,SS-JT0001.2009,,总谱,,,,,,,,多一个竹笛声部，铃鼓音高不同,"广东,经典作品"
394,惊涛,丝弦乐,陈文达,,李复斌,SS-JT0001.2017,,总谱 分谱,,,,,,,,,"广东,经典作品"
395,醒狮,丝弦乐,吕文成,李复斌,,SS-XS0001,,总谱,,,,,,,,,"广东,经典作品"
396,渔歌晚唱,丝弦乐,吕文成,李复斌,,SS-YG0001.2018,,总谱,,,,,,,,,"广东,经典作品"
397,娱乐升平,丝弦乐,,,,SS-YL0001,,总谱 分谱,,,,,,,,,"广东,经典作品"
398,彝族舞曲,丝弦乐,,,李复斌,SS-YZ0001,,总谱 分谱,,,,,,,,,云南
399,知音,丝弦乐,施光南,,李复斌,SS-ZY0001.2005,,总谱,,,,,,,,,
400,知音,丝弦乐,,,李复斌,SS-ZY0001.2005,,分谱,,,,,,,,,
401,知音,丝弦乐,王立平,,李复斌,SS-ZY0001.2005,,总谱,,,,,,,,,
402,阿凡提的故事,弹拨乐合奏,根据电影《阿凡提》主题音乐改编,克里木 奴尔买买提,李复斌,PS-AF0001.2014,,总谱 分谱,,✓,✓,,,,,,"新疆,影视"
403,彩云追月,弹拨乐合奏,,李复斌,,PS-CY0001.2005,,总谱 分谱,,,,,,,,,"广东,经典作品"
404,俄罗斯民歌印象,弹拨乐合奏,,郭亨基,,PS-EL0001,,分谱,,,,,,,,《田野静悄悄》、《小苹果》、《雪莲花》、《卡玛林斯卡亚》,"外国作品,俄罗斯"
405,丰收之歌,弹拨乐合奏,,,李复斌,PS-FS0001,,分谱,,,,,,,,,"外国作品,丹麦"
406,火凤,弹拨乐合奏,何昌林、曹文工,,,PS-HF0001.2001,,手写总谱 总谱,,,,,,,,,古曲
407,狂欢的篝火之夜,弹拨乐合奏,吉喆,,宁勇（移配）,PS-KH0001,,手写简总谱,,,,,,,,,
408,客家山水春雨图,弹拨乐合奏,,,,PS-KJ0001,,总谱,✓,✓,,,,,,,广东
409,铃儿响叮当,弹拨乐合奏,,,顾冠仁,PS-LE0001,,手写简分谱,,,,,,,,,"外国作品,节日,圣诞节"
410,马刀舞曲,弹拨乐合奏,哈恰图良（俄）,,,PS-MD0001,,总谱,,,,,,,,,"外国作品,俄罗斯"
411,南疆舞曲,弹拨乐合奏,,,,PS-NJ0001,,总谱 分谱,,,,,,,,,新疆
412,山寨之夜,弹拨乐合奏,,,,PS-SZ0001,,总谱,,,,,,,,,
413,三六,弹拨乐合奏,,,,PS-SL0001,,简总谱 简分谱,,,,,,,,,江南丝竹
414,驼铃响叮当,弹拨乐合奏,顾冠仁,,,PS-TL0001,,总谱,,,,,,,,,
415,天山之春,弹拨乐合奏,,李复斌,,PS-TS0001.2003,,总谱 分谱,,,,,,,,,新疆
416,弹起我心爱的土琵琶,弹拨乐合奏,吕其明,王惠然,,PS-TQ0001,,总谱,,,,,,,,,
417,田野歌声,弹拨乐合奏,,王惠然,,PS-TY0001,,总谱,,,,,,,,,
418,新春乐,弹拨乐合奏,,李复斌,,PS-XC0001,,分谱,,,,,,,,,"河北,经典作品"
419,小河淌水,弹拨乐合奏,李复斌,,,PS-XH0001,,总谱 分谱,,,,,,,,,"云南,经典作品"
420,月儿高,弹拨乐合奏,许昭雄,李复斌,,PS-YE0001,,总谱,,,,,,,,,经典作品
421,瑶族舞曲,弹拨乐合奏,,,,PS-YZ0001,,总谱 分谱,✓,,,,,,,,"广东,经典作品"
422,雨,弹拨乐合奏,曹文工,,,PS-Y0001,,总谱 分谱,,,,,,,,,广东
423,音诗——沙迪尔传奇,弹拨乐合奏,吕文成,,,PS-YS0001,,手写简分谱,,,,,,,,维吾尔音诗,新疆
,银河会,弹拨乐合奏,吕文成,李复斌,,PS-YH0002,,总谱 分谱 简分谱,✓,✓,,,,,,琵琶与弹拨乐合奏队，亦可作弹拨合奏,广东
424,阿细欢歌,吹打乐,林伟华,李复斌,,WP-AX0001,,总谱,,,,,,,,,云南
425,旱天雷,吹打乐,,李复斌,,WP-HT0001.2009,,总谱 分谱,,,,,,,,,"广东,经典作品"
,画眉跳架,潮州锣鼓,传统乐曲,林运喜,,WP-HM0002,曲库电脑,总谱 分谱,✓,✓,,,,,,,"广东,潮州音乐"
426,将军令（广东汉乐）,吹打乐,,杨柳 罗优,,WP-JJ0001,,手写简总谱,,,,,,,,,"广东,广东汉乐"
427,龙腾虎跃,吹打乐,李民雄,李复斌,,WP-LT0001.2005,,总谱,,,,,,,,,"广东,经典作品"
,龙腾虎跃,吹打乐,李民雄,李复斌,,WP-LT0003,曲库电脑,总谱,✓,,,✓,,,,,"广东,经典作品"
,龙腾虎跃,吹打乐,李民雄,李复斌,,WP-LT0004.2025,曲库电脑,总谱,✓,✓,,,,,,,
,龙舟,吹打乐,何柳堂,李复斌,,WP-LZ0002,曲库电脑,总谱 分谱 简分谱,✓,✓,,,,,,,"广东,经典作品"
,狮子戏球,吹打乐,传统乐曲,,,WP-SZ0001,曲库电脑,总谱 分谱,✓,✓,,,,,,无有音高乐器，仅有旋律谱,"广东,潮州音乐"
428,音诗——沙迪尔传奇,吹打乐,,,,WP-YS0001,,手写简分谱,,,,,,,,维吾尔音诗,新疆
429,博弈,打击乐团,李复斌,,,PE-BY0001,,总谱,,,,,,,,,李复斌原创
430,东郭先生与狼,打击乐团,李复斌,,,PE-DG0001,,总谱,,,,,,,,,"李复斌原创,舞台表演"
431,滚核桃,打击乐团,,,,PE-GH0001,,总谱,,,,,,,,,山西
432,老虎磨牙,打击乐团,安志顺,,,PE-LH0001,,总谱 分谱,✓,,,,,,,,西北
433,老鼠娶亲,打击乐团,山西绛州鼓乐团集体创作,,,PE-LS0001,,总谱 分谱,,,,,,,,,山西
434,荔枝红,打击乐团,李复斌,,,PE-LZ0001.2020,,总谱,,,,,,,,,广东
435,Techhology,打击乐合奏,Jim Casella,,,PE-TE0001,,,,,,,,,,,"外国作品,美国"
436,鸭子拌嘴,打击乐团,安志顺,,,PE-YZ0001,,手写简分谱,,,,,,,,,
436,中国寓言故事的启迪,打击乐合奏,李复斌,,,PE-ZG0001,曲库电脑,总谱 分谱,✓,✓,,,,,,,"李复斌原创,舞台表演"
437,春之韵珠江赋（演唱：梁玉嵘）,中国管乐,李复斌,,,CW-CZ0001.2015,,分谱,,,,,,,,,"广东,李复斌原创"
438,惊涛,中国管乐,陈文达,李复斌,,CW-JT0001,,总谱,,,,,,,,,"广东,经典作品"
439,马刀舞曲（扩展版）,中国管乐,哈恰图良（俄）,李复斌,,CW-MD0001.2023,,总谱,,,,,,,,,"外国作品,俄罗斯"
440,萨朗回响,交响管乐合奏,李复斌,,,CW-SL0001.2009,,总谱 分谱,,,,,,,,,李复斌原创
441,西关故事,弓弦乐团,李复斌,,,CS-XG0001,,总谱,,,,,,,,,李复斌原创
442,音诗——沙迪尔传奇,弓弦乐团,,,,CS-YS0001,,手写分谱 手写简分谱,,,,,,,,维吾尔音诗,新疆
443,爱我中华,合唱,徐沛东,,李复斌,CH-AW0001,,简总谱 总谱,,,,,,,,,红歌
444,爱我中华,合唱,徐沛东,,李复斌,CH-AW0001,,总谱,,,,,,,,,红歌
445,把根留住,混声合唱,童安格,朱良镇,,CH-BG0001,,简总谱,,,,,,,,,
446,北京喜讯到边寨（少儿版）,合唱,郑路、马洪业,,李复斌,CH-BJ0001,,总谱 分谱,,,,,,,,,
447,百年·伶仃洋,大型民族交响合唱,李复斌,,,CH-BN0001.2021,,总谱,,,,,,,,,"广东,李复斌原创"
448,春节序曲,合唱,李焕之,李复斌,,CH-CJ0001.2007,,总谱 分谱,,,,,,,,,经典作品
449,彩云追月,合唱,,李复斌,,CH-CY0001.2005,,分谱,,,,,,,,,"广东,经典作品"
450,彩云追月,通俗合唱,,李复斌,,CH-CY0001,,总谱 分谱,,,,,,,,,"广东,经典作品"
451,大湾情缘,男声/女声独唱、合唱,陈明志,,,CH-DW0001,,总谱 分谱,,,,,,,,,广东
452,复兴之路,混声合唱,印青,,,CH-FX0001,,总谱 分谱,,,,,,,,,
453,帆影,民族管弦乐与合唱,孟卫东,,李复斌,CH-FY0001.2021,,简总谱 总谱,,,,,,,,大型民族交响组曲《簕杜鹃与金莲花》曲1,簕杜鹃与金莲花
454,鼓舞中国,声乐、鼓乐、打击乐,李复斌,,,CH-GW0001.2005,,简总谱 分谱,,,,,,,,,李复斌原创
455,鼓舞中国,声乐、鼓乐、打击乐,李复斌,,,CH-GW0001.2005（2）,,简总谱 分谱,,,,,,,,,李复斌原创
456,回娘家,合唱,,李复斌,,CH-HN0001.2012,,总谱,,,,,,,,,
457,红旗颂,民族交响合唱,吕其明,李复斌,,CH-HQ0001.2016,,总谱,,,,,,,,,红歌
458,红旗颂,民族交响合唱,吕其明,李复斌,,CH-HQ0001,,总谱 分谱,,,,,,,,,红歌
459,江山多娇,混声四部合唱,陈述刘,,,CH-JS0001,,手写总谱 总谱,,,,,,,,,
,江山多娇,民族交响合唱,陈述刘,李复斌,,CH-JS0001.2016,曲库电脑,分谱,✓,✓,,,,,,,
460,落雨大,合唱,广东童谣,,李复斌,CH-LY0001.2017,,总谱,✓,✓,,,,,,,"广东,童谣"
,落雨大,女声合唱,广东童谣,,李复斌,CH-LY0001.2025.12.29,曲库电脑,总谱 分谱,✔️,✔️,,,,,,民族乐队、民族管弦乐伴奏版、女生合唱,
,湾区畅想—百年伶仃洋,民族交响合唱,李复斌,,,CH-LD0002,曲库电脑,总谱 分谱,✓,✓,,,,,,,李复斌原创
461,马铃响来玉鸟儿唱,合唱,罗宗贤、葛炎,,,CH-ML0001,,总谱,,,,,,,,故事片《阿诗玛》插曲,影视
462,梦起大湾,民族交响合唱,,,,CH-MQ0001.2023,,总谱 分谱,,,,,,,,,广东
463,赛龙夺锦（少儿版）（中西混编）,乐队与合唱 女高女低,,李复斌,,CH-SL0001,,总谱,,,,,,,,,"广东,经典作品,少儿"
464,赛龙夺锦,乐队与合唱,翟宗,李复斌,,CH-SL0001.2004,,总谱,,,,,,,,,"广东,经典作品"
465,我的祖国,合唱、二胡与乐队,,李复斌,,CH-WD0001.2018,,总谱,✓,✓,,,,,,,影视
466,尾曲·礼赞·2049,混声合唱,孟卫东,,李复斌,CH-FY0001.2021,,简总谱 总谱,,,,,,,,大型民族交响组曲《簕杜鹃与金莲花》尾曲,簕杜鹃与金莲花
467,湾曲畅想·百年伶仃洋,民族交响合唱,李复斌,,,CH-WQ0002,,总谱,,,,,,,,,"广东,李复斌原创"
468,序曲·礼赞·1999,合唱,孟卫东,,李复斌,CH-FY0001.2021,,简总谱 总谱,,,,,,,,大型民族交响组曲《簕杜鹃与金莲花》序曲,簕杜鹃与金莲花
469,忆秦娥,合唱与乐队,田丰,李复斌,,CH-YQ0001.2011,,简分谱,,,,,,,,,
470,忆秦娥·娄山关,合唱,田丰,,,CH-YQ0001,,总谱 分谱,,,,,,,,,
471,安徽民歌组曲（两首）,管弦乐,,杨一博,,OC-AH0001,,总谱,,,,,,,,屯溪民歌《小石桥》、当涂民歌《划龙船》,安徽
,步步高主题随想,管弦乐,吕文成,李复斌,,OC-BB0001,曲库电脑,总谱,,✓,,,,,,,"广东,经典作品,李复斌编曲"
472,Hungarian Dance No.5,管弦乐,Johannes Brahms,Roy Phillippe,,OC-HU0001,,总谱,,,,,,,,匈牙利舞曲第5号,"外国作品,德国"
473,卡门（序曲）,管弦乐,Georges Bizet,,,OC-KM0001,,总谱,,,,,,,,,"外国作品,法国,卡门组曲"
474,蓝色多瑙河圆舞曲,管弦乐,Johann Strauss,,,OC-LS0001,,袖珍总谱,,,,,,,,,"外国作品,奥地利"
475,马刀舞曲,管弦乐,哈恰图良（俄）,,,OC-MD0001,,总谱,,,,,,,,,"外国作品,俄罗斯"
,平湖秋月,管弦乐,吕文成,李复斌,,OC-PH0001,曲库电脑,总谱,,✓,,,,,,,"广东,经典作品"
,云南音诗——火把节,管弦乐,王西麟,,,OC-YN0001,曲库电脑,总谱,,✓,,,,,,,
476,阿里山的姑娘,管乐团,,,,WB-AL0001,,总谱,,,,,,,,,台湾
477,步步高,管乐团,吕文成,李复斌,,WB-BB0001.2017,,总谱,✓,✓,,,,,,传统步步高,"广东,经典作品"
478,彩云追月,管乐团,任光,李复斌,,WB-CY0001.2017,,总谱,,,,,,,,,"广东,经典作品"
479,歌剧魅影,管乐团,安德鲁·洛伊·韦伯,,,WB-GJ0001,,总谱,,,,,,,,,"外国作品,影视"
480,旱天雷,管乐团,广东音乐,李复斌,,WB-HT0001,,总谱,✓,✓,,,,,,,"广东,经典作品"
,检阅进行曲,管乐团,郑璐,,,WB-JY0001,曲库电脑,总谱 分谱,✓,✓,,,,,,,
,赛龙夺锦,管乐团,何柳堂,李复斌,,WB-SL0001.2017,曲库电脑,总谱,,✓,,,,,,,"广东,经典作品"
,太阳玄鸟,管乐团,李复斌,,,WB-TY0001,曲库电脑,总谱,,✓,,,,,,,李复斌原创
481,珠江源,管乐团,李复斌,,,WB-ZJ0001.2017,,总谱,,✓,,,,,,,李复斌原创
482,娱乐升平,管乐团,丘鹤俦,李复斌,,WB-YL0001.2017,,总谱,,✓,,,,,,,"广东,经典作品"
,宝莲灯,粤曲,,,,CT-BL0001,,手写简谱,,,,,,,,,
,宝莲灯,粤曲,,,,CT-BL0001,,手写简谱  总谱,,,,,,,,,
483,春满羊城,粤曲,何克宁,李复斌,,CT-CM0001,,总谱,,,,,,,,,"广东,粤曲"
,春满羊城,粤曲,,,,CT-CM0002.2005,,分谱,,,,,,,,粤曲演唱,
,闯经堂,传统粤曲,陈自强,李复斌,,CT-CJ0001.2009,,总谱,,,,,,,,,
,闯经堂,传统粤曲,陈自强,李复斌,,CT-CJ0002.2009,,歌谱,,,,,,,,,
,闯经堂,传统粤曲,陈自强,,汤凯旋,CT-CJ0003.2005,,手写总谱,,,,,,,,粤曲平喉独唱,
,踩莲,粤曲,,,李复斌,CT-CL0001.2005,,总谱 分谱,,,,,,,,丝弦乐带管乐伴奏,
484,春之韵,粤曲,李复斌,,,CT-CZ0001,,分谱,,,,,,,,,"广东,粤曲"
485,春之韵·珠江赋,粤曲,李复斌,,,CT-CZ0002.2015,,总谱,,,,,,,,,"广东,粤曲"
,歌唱农村新面貌,粤曲,,张文纲,,CT-GC0001,,歌谱,,,,,,,,,
,歌唱农村新面貌,粤曲,,李,,CT-GC0002,,总谱,,,,,,,,粤曲南音,
,剑归来,传统粤曲,,,李复斌,CT-JG0001。2018,,总谱,,,,,,,,,
486,客途秋恨,传统粤曲南音,,,李复斌,CT-KT0001.2017,,总谱,,,,,,,,,"广东,南音"
,柳毅传书之花好月圆,粤曲,,,李复斌,CT-LY0001。2018,,总谱,,,,,,,,根据罗家宝 林锦屏演唱版本整理,
,娄山关,粤曲,,,,CT-LS0002,曲库电脑,总谱,,✓,,,,,,,
,牡丹亭,传统粤曲,,,李复斌,CT-MD0001.2018,,总谱,,,,,,,,,
,满江红,粤曲协奏曲,李复斌,,,CT-MJ00001.2009,,总谱,,,,,,,,,
,满江红,粤曲,李复斌,,,CT-MJ00002.2005,,总谱,,,,,,,,与民族交响合唱,
,满江红,粤曲,李复斌,,,CT-MJ00003.2005,,分谱,,,,,,,,满江红附一,
,怒劈华山,粤曲演唱,,,,CT-NP0001,,分谱,,,,,,,,,
,怒劈华山,粤曲演唱,,,,CT-NP0002,,手写简总谱,,,,,,,,十八相送，断桥，莽花    旋律谱,
,十八相送,传统粤曲,,,,CT-SB0001.2009,,总谱,,,,,,,,,
,十八相送,传统粤曲,彭家榥,合唱,,CT-SB0001,,手写简总谱,,,,,,,,女生对唱,
487,山河颂,粤曲演唱,成田为三,,李复斌,CT-SH0001,,总谱 分谱,,,,,,,,,"广东,粤曲"
,山河颂之长城放歌,粤曲对唱,,,李复斌,CT-SH0002,,手写简总谱 手写简分谱,,,,,,,,,
,天女散花,传统粤曲,,,李复斌,CT-TN0001.2018,,总谱,,,,,,,,,
,岳飞满江红,粤曲协奏曲,李复斌,,,CT-YF0001.2009,,总谱,,,,,,,,,
488,杨门女将,传统粤曲独唱,,,李复斌,CT-YM0001.2017,,总谱,,,,,,,,,"广东,粤曲"
,忆秦娥·娄山关,广东粤曲,李复斌、梁玉嵘,,,CT-YQ0001.2018,,总谱,,,,,,,,民族管弦与合唱,
,瀛台恨,粤曲,李复斌,,,CT-YT0001,,手写简总谱,,,,,,,,,
,星腔遥映战袍红,粤曲,李复斌,,,CT-XQOOO1.2015,,总谱,,,,,,,,,
,咸水歌·甜水歌,粤曲演唱,,李复斌,李复斌,CT-XSOOO1,,总谱,,,,,,,,,
,昭君怨,粤曲,,,卜灿荣,CT-ZJ0001,,手写总谱  简谱分谱,,,,,,,,孔雀东南飞之情殉劫后花,
,珠江潮  第二版,粤曲与男高音,Ke Xu、李复斌,,,CT-ZJ0002,,总谱 分谱,,,,,,,,,
489,打虎上山（原版）,京剧,（杨子荣唱腔）智取虎威山第五场,,,XQ-DH0001.1990,,总谱 手写总谱,,,,,,,,,京剧曲牌
490,梨园春,戏曲,李复斌,,,XQ-LY0001,,总谱 分谱,,,,,,,,,
,帝女花,粤剧,,,,XQ-DN0001,,总谱,,,,,,,,管弦乐队版,
,帝女花·”香夭“,粤剧对唱,,,李复斌,XQ-DN0001.2018,,总谱,,,,,,,,,
491,智取威虎山（第五场打虎上山）,革命现代京剧,,,,XQ-ZQ0001,,总谱,,,,,,,,,京剧曲牌
,东吴郡王,潮剧,,,李复斌,XQ-DW0001.2008,,总谱,,,,,,,,,
,国色天香,汉剧,钟礼俊,,梁军,XQ-GS0001.2017,,总谱,,,,,,,,,
,花月影——花月情、明月清辉,粤剧,,,,XQ-HY0001,,总谱,,,,,,,,,
,和风小送畦土香,汉剧,,梁军,,XQ-HF0001,,总谱,,,,,,,,,
,蝴蝶梦,汉剧,,梁军,,XQ-HD0001.2017,,总谱,,,,,,,,,
,精卫无勇天海心,汉剧,钟礼俊,梁军,,XQ-JW0001.2017,,总谱,,,,,,,,,
,客途秋恨,粤剧,,,李复斌,XQ-KT0001.2017,,总谱,,,,,,,,,
,荔枝颂,粤剧,,李复斌,李复斌,XQ-LZ0001,,总谱 分谱,,,,,,,,,
,柳青娘,潮剧,,,黄唯奇 陈博,XQ-LQ0001,,手写简分谱,,,,,,,,,
,你可知朱买臣五十才富贵,汉剧,,梁军,,XQ-NK0001.2016,,总谱,,,,,,,,,
,青春一去不再留,汉剧,,梁军,梁军,XQ-QC0001.2017,,总谱,,,,,,,,,
,沁园春·雪,汉剧,钟礼俊,梁军,,XQ-QY0001.2017,,总谱,,,,,,,,,
,顶狮山传奇（第一幕）,邕剧,李复斌,,,XQ-SD0001,曲库电脑,总谱 分谱,✓,✓,,,,,,,"顶狮山传奇,李复斌原创"
,数载夫妻君了然,汉剧,钟礼俊  孙金泉,,梁军,XQ-SZ0001.2017,,总谱,,,,,,,,,
,我好恨·有口难辨,汉剧,钟礼俊  苏华伟       钟礼坤,梁军,,XQ-WH0001.2017,,总谱,,,,,,,,,
,我遗憾不是共产党员,汉剧,钟礼俊  钟礼坤,梁军,梁军,XQ-WY0001.2017,,总谱,,,,,,,,,
,无声的功勋 -序曲,现代粤剧,李复斌,,,XQ-WS0001,曲库电脑,总谱 分谱,✓,✓,,,,,,,"无声的功勋,李复斌原创"
,一腔怒火烧红天,广东汉剧,,梁军,,XQ-YQ0001.2016,,总谱,,,,,,,,,
,英雄赞歌,戏曲,,,,XQ-YX0001,,总谱,,,,,,,,,
,月色溶溶照小径,广东汉剧唱腔,钟礼俊  孙金泉,梁军,梁军,XQ-YS0001.2017,,总谱,,,,,,,,《蝴蝶梦》选段,
,做一个好女人,汉剧,钟礼俊  钟礼坤,梁军,,XQ-ZY0001.2017,,总谱,,,,,,,,,
,佛宝赞,佛曲,,,,BS-FB0001,,简谱  总谱,,,,,,,,,
492,佛曲五首,佛曲,弘一大师,,,BS-FQ0001,,简总谱 手写简总谱,,,,,,,,三宝歌、普天乐、万德圆融、自性偈、谛想偈,佛教音乐
493,佛曲六首,佛曲,李复斌、觉仁,,,BS-FQ0001.2005,,手写简总谱,,,,,,,,三宝歌、普天乐、万德圆融、自性偈、谛想偈,佛教音乐
,佛曲七首,佛曲,李复斌,,,BS-FQ0001,,简分谱  简总谱,,,,,,,,,
,四   费闲歌,佛曲,,李复斌,,BS-FX0001,,李复斌,,,,,,,,佛教音乐会,
494,般若无相颂（佛教音乐会）,男声齐唱,李复斌,,,BS-BR0001,,李复斌,,,,,,,,,"佛教音乐,李复斌原创"
495,宝影赞,大合唱,,,,BS-BY0001,,简总谱,,,,,,,,,佛教音乐
,供养咒,佛曲,,,,BS-GY0001,,简总谱,,,,,,,,,
,四弘誓愿,佛曲,李复斌,,,BS-SH0001,,总谱,,,,,,,,佛教音乐会,
,是心做佛祖,佛曲合唱,,,,BS-SS0001,,总谱 简分谱,,,,,,,,,
,启告十方,佛曲,,,,BS-QG0001,,总谱,,,,,,,,佛教音乐会,
,天堂在哪里,佛曲,,,,BS-TT0001,,总谱,,,,,,,,,
496,五方结界,佛曲歌曲,,,,BS-WF0001,,手写简总谱,,,,,,,,,佛教音乐
,咏花赞,道教音乐,,,李复斌,BS-YH0001,,总谱,,,,,,,,,
497,准提神咒,佛曲,,,,BS-ZT0001,,手写简总谱,,,,,,,,,佛教音乐
498,巴楚行第一乐章,竹笛协奏与管弦乐,钟信明,,,ZD-BC0001,,手写总谱,,,,,,,,,湖北
499,巴楚行第二乐章,竹笛协奏与民族乐队,钟信明,,,ZD-BC0002,,总谱,,,,,,,,,湖北
500,梆笛协奏曲,梆笛协奏,马水龙,,,ZD-BD0001,,钢伴谱,,,,,,,,,
501,百家春（大笛乐）,竹笛,,黄唯奇,陈博,ZD-BJ0001,,手写简总谱,,,,,,,,,
502,巴蜀情,竹笛协奏,钟信明,,,ZD-BS0001,,总谱,,,,,,,,,湖北
503,“楚辞”后奏曲,竹笛与乐队,李复斌,,,ZD-CC0001,,总谱 分谱,✓,✓,,,,,,,李复斌原创
504,“楚辞”后奏曲,竹笛与乐队,李复斌,,,ZD-CC0001（2）,,总谱 分谱,,,,,,,,,李复斌原创
505,“楚辞”后奏曲,竹笛与乐队,李复斌,,,ZD-CC0001（3）,,总谱 分谱,,,,,,,,,李复斌原创
506,“楚辞”后奏曲,竹笛与乐队,李复斌,,,ZD-CC0001（4）,,总谱,,,,,,,,,李复斌原创
507,唱支山歌给党听,笛子独奏,朱践耳,汤凯旋,汤凯旋,ZD-CZ0001,,手写简总谱,,,,,,,,,"红歌,歌曲改编"
508,大青山下,笛子独奏,南维德、李镇,,李复斌,ZD-DQ0001,,总谱 分谱,,,,,,,,,内蒙古
509,顶嘴,笛子二重奏,,,,ZD-CZ0001,,简总谱,,,,,,,,,河南
510,飞歌,笛子独奏,唐建平,,,ZD-FG0001.2002,,总谱,,,,,,,,,云南
511,挂红灯,梆笛独奏,周成龙,,,ZD-GH0001.1989,,手写总谱,,,,,,,,,陕北
512,姑苏行,竹笛独奏,顾冠仁,,,ZD-GS0001.1986,,手写总谱 手写简总谱,,,,,,,,,江苏
513,红梅赞,竹笛与乐队,,,李复斌,ZD-HM0001.2016,,总谱,,✓,✓,,,,,,"江姐,经典歌剧"
514,和平鸽,竹笛与管弦乐队,刘管乐,赵松庭,李复斌,ZD-HP0001.2009,,总谱,,✓,,,,,,,
,胡旋舞,竹笛独奏,钟耀光,,,ZD-HX0003,曲库电脑,钢伴谱,✓,,,,,,,,
515,丽莲之歌,笛子独奏,印度电影流浪者主题曲,,,ZD-LL0001,,手写总谱,,,,,,,,,"外国作品,影视,印度"
516,柳青娘,笛子独奏,刘管乐,,,ZD-LQ0001,,手写简总谱,,,,,,,,,
517,绿洲,笛子独奏,莫凡,,,ZD-LZ0001,,手写总谱,,,,,,,,,新疆
518,满江红,竹笛与乐队,王建民,李复斌,,ZD-MJ0001,,总谱,,,,,,,,,
519,牧民新歌,笛子独奏（小乐队伴奏）,简广易、王志伟,,,ZD-MM0001,,总谱 简总谱,,,,,,,,,内蒙古
520,麦收,笛子独奏,曾泳清,,,ZD-MS0001,,手写简总谱,,,,,,,,,
521,闹元宵,大笛乐,,黄唯奇,陈博,ZD-NY0001,,简总谱,,,,,,,,,山西
522,帕米尔的春天,笛子独奏,吉克族民歌,李大同,王国伟,ZD-PM0001,,手写总谱,,,,,,,,,新疆
523,秦川抒怀,笛子独奏,曾永清,,,ZD-QC0001,,手写简总谱,,,,,,,,,陕西
524,秦川情,竹笛协奏,曾永清,,,ZD-QC0002,,总谱,,✓,,,,,,,陕西
525,秋湖月夜,笛子独奏,逾逊发、彭正元,,,ZD-QH0001,,总谱 简分谱,,,,,,,,,诗词
,热情与冷漠的邂逅,双竹笛与钢琴,李博禅,,,ZD-RQ0001,曲库电脑,钢伴谱,✓,,,,,,,,
